Survey,Year,Quarter,Area,AphiaID,Species,LngtClass,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,DateofCalculation
EVHOE,1997,4,BB,126438,Merlangius merlangus,10,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,20,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,30,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,40,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,50,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,60,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,70,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,80,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,90,1,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,100,3,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,110,4,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,120,5,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,130,7,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,140,8,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,150,13,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,160,13,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,170,12,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,180,15,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,190,18,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,200,12,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,210,14,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,220,12,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,230,5,1,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,240,6,1,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,250,2,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,260,,1,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,270,,3,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,280,,3,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,290,,3,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,300,,7,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,310,,9,1,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,320,,7,1,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,330,,7,1,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,340,,7,1,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,350,,3,2,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,360,,2,2,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,370,,1,4,2,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,380,,,1,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,390,,,,2,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,400,,,4,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,410,,,3,,1,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,420,,,1,,1,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,430,,,,2,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,440,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,450,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,460,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,470,,,1,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,480,,,,1,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,490,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,500,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,510,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,520,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,530,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,540,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,550,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,560,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,570,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,580,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,590,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,600,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,610,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,620,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,630,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,640,,,,,,,,,,,,20140402
EVHOE,1997,4,BB,126438,Merlangius merlangus,650,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,10,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,20,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,30,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,40,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,50,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,60,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,70,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,80,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,90,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,100,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,110,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,120,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,130,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,140,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,150,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,160,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,170,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,180,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,190,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,200,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,210,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,220,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,230,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,240,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,250,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,260,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,270,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,280,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,290,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,300,,1,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,310,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,320,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,330,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,340,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,350,,1,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,360,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,370,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,380,,1,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,390,,1,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,400,,1,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,410,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,420,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,430,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,440,,2,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,450,,2,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,460,,1,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,470,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,480,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,490,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,500,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,510,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,520,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,530,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,540,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,550,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,560,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,570,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,580,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,590,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,600,,,1,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,610,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,620,,,1,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,630,,,1,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,640,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,650,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,660,,,2,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,670,,,1,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,680,,,1,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,690,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,700,,,1,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,710,,,2,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,720,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,730,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,740,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,750,,,,2,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,760,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,770,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,780,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,790,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,800,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,810,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,820,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,830,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,840,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,850,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,860,,,,1,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,870,,,,1,2,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,880,,,,,1,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,890,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,900,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,910,,,,,1,1,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,920,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,930,,,,,,1,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,940,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,950,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,960,,,,,1,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,970,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,980,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,990,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1000,,,,,,1,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1010,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1020,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1030,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1040,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1050,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1060,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1070,,,,,,,,,1,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1080,,,,,,,,,1,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1090,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1100,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1110,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1120,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1130,,,,,,,,,1,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1140,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1150,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1160,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1170,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1180,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1190,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1200,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1210,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1220,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1230,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1240,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1250,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1260,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1270,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1280,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1290,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1300,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1310,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1320,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1330,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1340,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1350,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1360,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1370,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1380,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1390,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1400,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1410,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1420,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1430,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1440,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1450,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1460,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1470,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1480,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1490,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126436,Gadus morhua,1500,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,10,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,20,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,30,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,40,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,50,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,60,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,70,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,80,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,90,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,100,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,110,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,120,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,130,,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,140,3,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,150,6,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,160,9,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,170,8,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,180,8,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,190,7,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,200,5,,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,210,2,2,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,220,1,5,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,230,1,9,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,240,,10,,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,250,,12,2,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,260,,10,1,1,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,270,,9,3,,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,280,,8,4,1,,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,290,,3,5,1,1,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,300,,2,5,3,2,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,310,,1,6,2,3,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,320,,1,4,7,2,1,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,330,,,2,6,7,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,340,,1,1,2,8,1,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,350,,,,6,3,3,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,360,,,1,3,5,2,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,370,,,,1,5,1,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,380,,,,2,2,3,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,390,,,,,4,,1,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,400,,,,,1,,2,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,410,,,,,,2,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,420,,,,,2,,,,,,,20140402
EVHOE,1997,4,CL,126438,Merlangius merlangus,430,,,,,1,1,,,,,,20140402
