species_code;order;family;family_common;family_code;genus;species;species_common;sex;type;linf_cm;winf_g;k;t0;tmax_yr;m
2590;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser brevirostrum;Shortnose sturgeon;mixed;TL;144;NA;0.04;2;NA;NA
2591;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser fulvescens;Lake sturgeon;unsexed;TL;156;18286;0.033;-5.59;NA;0.06
2591;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser fulvescens;Lake sturgeon;mixed;TL;156;NA;0.04;-0.02;NA;NA
2591;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser fulvescens;Lake sturgeon;unsexed;TL;178;27140;0.05;NA;NA;0.06
4712;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser gueldenstaedtii;Russian sturgeon;unsexed;TL;253;97200;0.045;-3.5;NA;0.098
2592;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser medirostris;Green sturgeon;mixed;TL;238;NA;0.05;2;NA;NA
2592;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser medirostris;Green sturgeon;unsexed;TL;190;NA;0.087;NA;NA;NA
2505;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser nudiventris;Thorn sturgeon;unsexed;TL;205;42290;0.053;-4.35;NA;NA
2505;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser nudiventris;Thorn sturgeon;unsexed;TL;205;42360;0.119;NA;NA;0.15
2505;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser nudiventris;Thorn sturgeon;unsexed;;250;NA;0.04;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;184;NA;0.14;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;242;NA;0.12;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;female;TL;256;NA;0.07;-3.2;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;236;NA;0.06;NA;NA;NA
2593;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser oxyrinchus oxyrinchus;Atlantic sturgeon;mixed;TL;315;NA;0.03;NA;NA;NA
4604;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser ruthenus;Sterlet;unsexed;TL;57.8;NA;0.13;NA;NA;0.22
2065;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser stellatus;Stellate sturgeon;unsexed;TL;201;NA;0.06;NA;NA;0.16
2066;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser sturio;European sturgeon;unsexed;TL;500;NA;0.03;-2.8;NA;NA
2594;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser transmontanus;White sturgeon;unsexed;TL;300;170000;0.06;NA;NA;0.03
2594;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser transmontanus;White sturgeon;unsexed;TL;350;96680;0.04;NA;NA;NA
2594;Acipenseriformes;Acipenseridae;Sturgeons;32;Acipenser;Acipenser transmontanus;White sturgeon;unsexed;FL;303;NA;0.0346;-1.125;NA;0.11
4633;Acipenseriformes;Acipenseridae;Sturgeons;32;Huso;Huso dauricus;Kaluga;unsexed;TL;275;NA;0.073;NA;NA;0.082
2067;Acipenseriformes;Acipenseridae;Sturgeons;32;Huso;Huso huso;Beluga;unsexed;TL;249;149100;0.097;NA;NA;NA
4634;Acipenseriformes;Acipenseridae;Sturgeons;32;Pseudoscaphirhynchus;Pseudoscaphirhynchus kaufmanni;Amu Darya sturgeon;unsexed;TL;65.4;NA;0.164;-0.95;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;TL;113;7281;0.581;NA;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;male;FL;84.9;8696;0.133;NA;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;FL;178;NA;0.276;-0.71;NA;0.3
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;female;FL;90.3;10316;0.173;NA;NA;NA
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;FL;163;NA;0.254;-1.02;30;0.57
174;Acipenseriformes;Polyodontidae;Paddlefishes;33;Polyodon;Polyodon spathula;Paddlefish;unsexed;FL;152;NA;0.303;-0.73;NA;0.65
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;unsexed;FL;80.75518;5230;0.22;NA;NA;NA
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;male;FL;78.1594;NA;0.242;-1.318;NA;NA
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;female;FL;79.3134;NA;0.279;-0.934;NA;NA
228;Albuliformes;Albulidae;Bonefishes;48;Albula;Albula vulpes;Bonefish;unsexed;FL;124.2387;14657;0.301;NA;NA;NA
2600;Amiiformes;Amiidae;Bowfins;35;Amia;Amia calva;Bowfin;unsexed;TL;73.5;NA;0.328;NA;NA;0.37
2600;Amiiformes;Amiidae;Bowfins;35;Amia;Amia calva;Bowfin;unsexed;TL;92.6;NA;0.143;-1.42;NA;0.36
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;70;NA;0.031;-3.73;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;87;1070;0.196;-0.471;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;87.2;1060;0.187;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;unsexed;TL;83.2;921;0.0756;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;150;NA;0.013;-4.21;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;41.8;122;0.35;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;65.9;NA;0.036;-3.22;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;76.2;821;0.23;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;49.3;164;0.3366;-0.4871;NA;0.26
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;51.3;216;0.378;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;;82.3;891.9069;0.251;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;TL;47;161;0.467;-0.345;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;NA;144.8302;0.623;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;;NA;617.3254;0.336;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;45.3;148.7355;0.619;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;143;NA;0.013;-4.26;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;105;2070;0.046;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;unsexed;TL;112;2247;0.11;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;NA;201.2024;0.337;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;unsexed;TL;70.8;368;0.064;-0.62;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;TL;99.5;1898;0.133;-0.7037;NA;0.26
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;female;;112;2247.885;0.147;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;male;;NA;84.375;0.978;NA;NA;NA
35;Anguilliformes;Anguillidae;Freshwater eels;49;Anguilla;Anguilla anguilla;European eel;mixed;;135;3940;0.058;NA;NA;NA
